zipcode,population
ZCTA 02893,29630
ZCTA 02894,722
ZCTA 02895,41186
ZCTA 02896,11537
ZCTA 02898,1696
ZCTA 02903,10780
ZCTA 02904,29359
ZCTA 02905,25223
ZCTA 02906,28387
ZCTA 02907,27445
ZCTA 02908,37467
ZCTA 02909,43540
ZCTA 02910,21000
ZCTA 02911,15574
ZCTA 02912,1370
ZCTA 02914,21963
ZCTA 02915,16897
ZCTA 02916,8139
ZCTA 02917,13762
ZCTA 02919,28790
ZCTA 02920,37547
ZCTA 02921,12361
ZCTA 03031,11247
ZCTA 03032,4953
ZCTA 03033,4987
ZCTA 03034,3970
ZCTA 03036,4782
ZCTA 03037,4219
ZCTA 03038,33269
ZCTA 03042,6341
ZCTA 03043,1573
ZCTA 03044,4263
ZCTA 03045,13560
ZCTA 03046,2758
ZCTA 03047,1767
ZCTA 03048,3426
ZCTA 03049,7688
ZCTA 03051,24480
ZCTA 03052,8258
ZCTA 03053,23957
ZCTA 03054,25477
ZCTA 03055,15086
ZCTA 03057,2500
ZCTA 03060,29357
ZCTA 03062,26694
ZCTA 03063,16216
ZCTA 03064,14227
ZCTA 03070,5254
ZCTA 03071,5109
ZCTA 03076,12897
ZCTA 03077,10155
ZCTA 03079,28776
ZCTA 03082,1615
ZCTA 03084,1366
ZCTA 03086,3728
ZCTA 03087,13592
ZCTA 03101,3049
ZCTA 03102,31096
ZCTA 03103,36476
ZCTA 03104,32798
ZCTA 03106,13374
ZCTA 03109,10314
ZCTA 03110,21203
ZCTA 03215,247
ZCTA 03216,2159
ZCTA 03217,2076
ZCTA 03218,960
ZCTA 03220,7430
ZCTA 03221,2091
ZCTA 03222,5353
ZCTA 03223,3427
ZCTA 03224,2318
ZCTA 03225,3660
ZCTA 03226,1117
ZCTA 03227,925
ZCTA 03229,5589
ZCTA 03230,1231
ZCTA 03231,202
ZCTA 03233,115
ZCTA 03234,4572
ZCTA 03235,8562
ZCTA 03237,2254
ZCTA 03238,75
ZCTA 03240,1340
ZCTA 03241,876
ZCTA 03242,4836
ZCTA 03243,1085
ZCTA 03244,8092
ZCTA 03245,2027
ZCTA 03246,15963
ZCTA 03249,7113
ZCTA 03251,1662
ZCTA 03253,6219
ZCTA 03254,4049
ZCTA 03255,2090
ZCTA 03256,2169
ZCTA 03257,4455
ZCTA 03258,2517
ZCTA 03259,368
ZCTA 03260,809
ZCTA 03261,4246
ZCTA 03262,1231
ZCTA 03263,4114
ZCTA 03264,7468
ZCTA 03266,2163
ZCTA 03268,1272
ZCTA 03269,2966
ZCTA 03273,312
ZCTA 03275,11437
ZCTA 03276,8324
ZCTA 03278,2952
ZCTA 03279,829
ZCTA 03280,1123
ZCTA 03281,8785
ZCTA 03282,902
ZCTA 03284,999
ZCTA 03285,2479
ZCTA 03287,1295
ZCTA 03290,4731
ZCTA 03291,39
ZCTA 03293,143
